#,Feature,Non-Null,Dtype,Source,Attribute,Unit,Comments,Colab file,Source,WWW,Google Drive path
44,ind.1,35813,int64,Weather,Shannon,Number/Numeric,Identifier of measurement station in Shannon Airport,1_weather-data-prep.ipynb,,,
45,temp,35813,float64,Weather,Shannon,°C (Celsius),Air Temperature in Shannon Airport,1_weather-data-prep.ipynb,,,
46,ind.2,35813,int64,Weather,Shannon,Number/Numeric,Identifier of measurement station in Shannon Airport,1_weather-data-prep.ipynb,,,
47,wetb,35813,float64,Weather,Shannon,°C (Celsius),Wet Bulb Air Temperature in Shannon Airport        ,1_weather-data-prep.ipynb,,,
48,dewpt,35813,float64,Weather,Shannon,°C (Celsius),Dew Point Air Temperature in Shannon Airport,1_weather-data-prep.ipynb,,,
49,vappr,35813,float64,Weather,Shannon,hpa (Hectopascal),Vapour Pressure in Shannon Airport,1_weather-data-prep.ipynb,,,
50,rhum,35813,int64,Weather,Shannon,%,Relative Humidity in Shannon Airport,1_weather-data-prep.ipynb,,,
51,msl,35813,float64,Weather,Shannon,hPa (Hectopascal),Mean Sea Level Pressure in Shannon Airport,1_weather-data-prep.ipynb,,,
52,ind.3,35813,int64,Weather,Shannon,Number/Numeric,Identifier of measurement station in Shannon Airport,1_weather-data-prep.ipynb,,,
53,wdsp,35813,int64,Weather,Shannon,kt (knot),Mean Hourly Wind Speed in Shannon Airport,1_weather-data-prep.ipynb,,,
54,ind.4,35813,int64,Weather,Shannon,Number/Numeric,Identifier of measurement station in Shannon Airport,1_weather-data-prep.ipynb,,,
55,wddir,35813,int64,Weather,Shannon,kt (knot),Predominant Hourly wind Direction in Shannon Airport,1_weather-data-prep.ipynb,,,
56,ww,35813,int64,Weather,Shannon,Decode in legend,Synop Code Present Weather in Shannon Airport,1_weather-data-prep.ipynb,,,
57,w,35813,int64,Weather,Shannon,Decode in legend,Synop Code Past Weather in Shannon Airport       ,1_weather-data-prep.ipynb,,,
58,sun,35813,float64,Weather,Shannon,h (hours),Sunshine duration in Shannon Airport,1_weather-data-prep.ipynb,,,
59,vis,35813,int64,Weather,Shannon,m (meters),Visibility in Shannon Airport,1_weather-data-prep.ipynb,,,
60,clht,35813,int64,Weather,Shannon,100s feet        ,Cloud Ceiling Height in Shannon Airport,1_weather-data-prep.ipynb,,,
61,clamt,35813,int64,Weather,Shannon,okta,Cloud Amount in Shannon Airport,1_weather-data-prep.ipynb,,,
62,ind_COR,35813,int64,Weather,Cork,Number/Numeric,Identifier of measurement station in Cork Airport,1_weather-data-prep.ipynb,,,
63,rain_COR,35813,float64,Weather,Cork,mm (milimeters),Precipitation Amount in Cork Airport,1_weather-data-prep.ipynb,,,
64,ind.1_COR,35813,int64,Weather,Cork,Number/Numeric,Identifier of measurement station in Cork Airport,1_weather-data-prep.ipynb,,,
65,temp_COR,35813,float64,Weather,Cork,°C (Celsius),Air Temperature in Cork Airport,1_weather-data-prep.ipynb,,,
66,ind.2_COR,35813,int64,Weather,Cork,Number/Numeric,Identifier of measurement station in Cork Airport,1_weather-data-prep.ipynb,,,
